
2023/12/22 (08:38:23) | ===> btop++ v.1.2.13
2023/12/22 (08:38:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/22 (08:51:36) | ===> btop++ v.1.2.13
2023/12/22 (08:51:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/12/22 (08:53:24) | INFO: Logger set to INFO
2023/12/22 (08:53:26) | INFO: Logger set to INFO

2023/12/23 (09:01:28) | ===> btop++ v.1.2.13
2023/12/23 (09:01:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/23 (09:33:04) | ===> btop++ v.1.2.13
2023/12/23 (09:33:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/25 (18:52:53) | ===> btop++ v.1.2.13
2023/12/25 (18:52:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/12/26 (07:26:51) | ERROR: Stall in Runner thread, restarting!
2023/12/26 (07:27:05) | ERROR: Stall in Runner thread, restarting!

2023/12/26 (11:07:21) | ===> btop++ v.1.2.13
2023/12/26 (11:07:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/26 (11:07:42) | ===> btop++ v.1.2.13
2023/12/26 (11:07:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/26 (11:07:48) | ===> btop++ v.1.2.13
2023/12/26 (11:07:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/28 (10:48:17) | ===> btop++ v.1.2.13
2023/12/28 (10:48:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/12/28 (18:47:16) | ERROR: Stall in Runner thread, restarting!
2023/12/28 (20:03:53) | ERROR: Stall in Runner thread, restarting!

2023/12/28 (20:04:39) | ===> btop++ v.1.2.13
2023/12/28 (20:04:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/28 (20:06:48) | ===> btop++ v.1.2.13
2023/12/28 (20:06:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/12/29 (18:41:17) | ERROR: Stall in Runner thread, restarting!

2023/12/29 (19:27:39) | ===> btop++ v.1.2.13
2023/12/29 (19:27:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/09 (11:35:26) | ===> btop++ v.1.2.13
2024/01/09 (11:35:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/14 (22:08:47) | ===> btop++ v.1.2.13
2024/01/14 (22:08:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (08:57:34) | ===> btop++ v.1.2.13
2024/01/15 (08:57:34) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (12:50:16) | ===> btop++ v.1.2.13
2024/01/15 (12:50:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/16 (02:18:21) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:18:35) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:18:53) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:20:28) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:22:41) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:22:51) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:24:32) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:24:39) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:24:45) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (02:24:55) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (08:48:33) | ERROR: Stall in Runner thread, restarting!
2024/01/16 (10:49:10) | ERROR: Stall in Runner thread, restarting!

2024/01/19 (13:01:57) | ===> btop++ v.1.2.13
2024/01/19 (13:01:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/20 (21:47:10) | ===> btop++ v.1.2.13
2024/01/20 (21:47:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/20 (21:49:05) | ===> btop++ v.1.2.13
2024/01/20 (21:49:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/23 (07:11:18) | ===> btop++ v.1.2.13
2024/01/23 (07:11:18) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/23 (10:18:47) | ERROR: Stall in Runner thread, restarting!

2024/01/23 (13:13:24) | ===> btop++ v.1.2.13
2024/01/23 (13:13:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/24 (15:57:22) | ===> btop++ v.1.2.13
2024/01/24 (15:57:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/25 (11:50:13) | ===> btop++ v.1.2.13
2024/01/25 (11:50:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/25 (17:58:37) | ===> btop++ v.1.2.13
2024/01/25 (17:58:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/25 (19:57:30) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (19:57:38) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (19:57:46) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (19:58:36) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (19:58:49) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (19:59:23) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (20:00:17) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (20:00:25) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (20:00:33) | ERROR: Stall in Runner thread, restarting!
2024/01/25 (20:08:05) | ERROR: Stall in Runner thread, restarting!
2024/01/26 (14:29:11) | ERROR: Stall in Runner thread, restarting!

2024/01/27 (00:33:19) | ===> btop++ v.1.2.13
2024/01/27 (00:33:19) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/27 (00:33:28) | ===> btop++ v.1.2.13
2024/01/27 (00:33:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/27 (00:34:11) | ===> btop++ v.1.2.13
2024/01/27 (00:34:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/27 (03:38:21) | ===> btop++ v.1.2.13
2024/01/27 (03:38:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/27 (04:06:43) | ===> btop++ v.1.2.13
2024/01/27 (04:06:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/28 (09:07:43) | ===> btop++ v.1.2.13
2024/01/28 (09:07:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/29 (01:14:15) | ERROR: Stall in Runner thread, restarting!
2024/01/29 (17:39:24) | ERROR: Stall in Runner thread, restarting!

2024/02/01 (10:44:01) | ===> btop++ v.1.2.13
2024/02/01 (10:44:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/02/02 (03:00:27) | ERROR: Stall in Runner thread, restarting!
2024/02/02 (03:00:46) | ERROR: Stall in Runner thread, restarting!
2024/02/07 (14:13:04) | ERROR: Stall in Runner thread, restarting!

2024/02/08 (08:06:02) | ===> btop++ v.1.2.13
2024/02/08 (08:06:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/02/10 (15:45:40) | ERROR: failed getting network interfaces

2024/02/12 (15:00:17) | ===> btop++ v.1.2.13
2024/02/12 (15:00:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/12 (15:01:30) | ===> btop++ v.1.2.13
2024/02/12 (15:01:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/12 (15:01:45) | ===> btop++ v.1.2.13
2024/02/12 (15:01:45) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/12 (15:05:03) | ===> btop++ v.1.2.13
2024/02/12 (15:05:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/12 (16:29:05) | ===> btop++ v.1.2.13
2024/02/12 (16:29:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (15:45:24) | ===> btop++ v.1.2.13
2024/02/16 (15:45:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (15:47:27) | ===> btop++ v.1.2.13
2024/02/16 (15:47:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (15:48:24) | ===> btop++ v.1.2.13
2024/02/16 (15:48:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (15:48:51) | ===> btop++ v.1.2.13
2024/02/16 (15:48:51) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/21 (12:56:28) | ===> btop++ v.1.2.13
2024/02/21 (12:56:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/23 (18:44:00) | ===> btop++ v.1.2.13
2024/02/23 (18:44:00) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/25 (16:56:58) | ===> btop++ v.1.2.13
2024/02/25 (16:56:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/26 (14:40:52) | ===> btop++ v.1.2.13
2024/02/26 (14:40:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/27 (18:37:14) | ===> btop++ v.1.2.13
2024/02/27 (18:37:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/01 (01:32:25) | ===> btop++ v.1.2.13
2024/03/01 (01:32:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/01 (16:51:39) | ===> btop++ v.1.2.13
2024/03/01 (16:51:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/09 (03:24:39) | ===> btop++ v.1.2.13
